device_id,load_condition,reading,latency_ms,valid
D04,high_load,2,172,true
D04,high_load,3,156,true
D04,high_load,4,161,true
D04,high_load,5,166,true
D04,high_load,6,171,true
D04,high_load,7,155,true
D04,high_load,8,160,true
D04,high_load,9,165,true
D04,high_load,10,170,true
D04,high_load,11,154,true
D04,high_load,12,159,false
D05,baseline,1,133,true
D05,baseline,2,123,true
D05,baseline,3,130,true
D05,baseline,4,137,true
D05,baseline,5,127,true
D05,baseline,6,134,true
D05,baseline,7,124,true
D05,baseline,8,131,true
D05,baseline,9,138,true
D05,baseline,10,128,true
D05,baseline,11,135,true
D05,baseline,12,125,false
D05,high_load,1,165,true
D05,high_load,2,170,true
D05,high_load,3,175,true
D05,high_load,4,159,true
D05,high_load,5,164,true
D05,high_load,6,169,true
D05,high_load,7,174,true
D05,high_load,8,158,true
D05,high_load,9,163,true
D05,high_load,10,168,true
D05,high_load,11,173,true
D05,high_load,12,178,false
D06,baseline,1,131,true
D06,baseline,2,138,true
D06,baseline,3,128,true
D06,baseline,4,135,true
D06,baseline,5,142,true
D06,baseline,6,132,true
D06,baseline,7,139,true
D06,baseline,8,129,true
D06,baseline,9,136,true
D06,baseline,10,126,true
D06,baseline,11,133,true
D06,baseline,12,140,false
D06,high_load,1,184,true
D06,high_load,2,168,true
D06,high_load,3,173,true
D06,high_load,4,178,true
D06,high_load,5,183,true
D06,high_load,6,167,true
D06,high_load,7,172,true
D06,high_load,8,177,true
D06,high_load,9,182,true
D06,high_load,10,166,true
D06,high_load,11,171,true
D06,high_load,12,176,false
D07,baseline,1,146,true
D07,baseline,2,136,true
D07,baseline,3,143,true
D07,baseline,4,133,true
D07,baseline,5,140,true
D07,baseline,6,130,true
D07,baseline,7,137,true
D07,baseline,8,144,true
D07,baseline,9,134,true
D07,baseline,10,141,true
D07,baseline,11,131,true
D07,baseline,12,138,false
D07,high_load,1,182,true
D07,high_load,2,187,true
D07,high_load,3,171,true
D07,high_load,4,176,true
D07,high_load,5,181,true
D07,high_load,6,186,true
D07,high_load,7,170,true
D07,high_load,8,175,true
D07,high_load,9,180,true
D07,high_load,10,185,true
D07,high_load,11,190,true
D07,high_load,12,174,false
D08,baseline,1,144,true
D08,baseline,2,134,true
D08,baseline,3,141,true
D08,baseline,4,148,true
D08,baseline,5,138,true
D08,baseline,6,145,true
D08,baseline,7,135,true
D08,baseline,8,142,true
D08,baseline,9,149,true
D08,baseline,10,139,true
D08,baseline,11,146,true
D08,baseline,12,136,false
D08,high_load,1,180,true
D08,high_load,2,185,true
D08,high_load,3,190,true
D08,high_load,4,195,true
D08,high_load,5,179,true
D08,high_load,6,184,true
D08,high_load,7,189,true
D08,high_load,8,194,true
D08,high_load,9,178,true
D08,high_load,10,183,true
D08,high_load,11,188,true
D08,high_load,12,193,false
D09,baseline,1,142,true
D09,baseline,2,149,true
D09,baseline,3,139,true
D09,baseline,4,146,true
D09,baseline,5,153,true
D09,baseline,6,143,true
D09,baseline,7,150,true
D09,baseline,8,140,true
D09,baseline,9,147,true
D09,baseline,10,154,true
D09,baseline,11,144,true
D09,baseline,12,151,false
D09,high_load,1,199,true
D09,high_load,2,183,true
D09,high_load,3,188,true
D09,high_load,4,193,true
D09,high_load,5,198,true
D09,high_load,6,182,true
D09,high_load,7,187,true
D09,high_load,8,192,true
D09,high_load,9,197,true
D09,high_load,10,202,true
D09,high_load,11,186,true
D09,high_load,12,191,false
D10,baseline,1,157,true
D10,baseline,2,147,true
D10,baseline,3,154,true
D10,baseline,4,144,true
D10,baseline,5,151,true
D10,baseline,6,158,true
D10,baseline,7,148,true
D10,baseline,8,155,true
D10,baseline,9,145,true
D10,baseline,10,152,true
D10,baseline,11,142,true
D10,baseline,12,149,false
D10,high_load,1,197,true
D10,high_load,2,202,true
D10,high_load,3,207,true
D10,high_load,4,191,true
D10,high_load,5,196,true
D10,high_load,6,201,true
D10,high_load,7,206,true
D10,high_load,8,190,true
D10,high_load,9,195,true
D10,high_load,10,200,true
D10,high_load,11,205,true
D10,high_load,12,189,false
D11,baseline,1,155,true
D11,baseline,2,162,true
D11,baseline,3,152,true
D11,baseline,4,159,true
D11,baseline,5,149,true
D11,baseline,6,156,true
D11,baseline,7,146,true
D11,baseline,8,153,true
D11,baseline,9,160,true
D11,baseline,10,150,true
D11,baseline,11,157,true
D11,baseline,12,147,false
D11,high_load,1,195,true
D11,high_load,2,200,true
D11,high_load,3,205,true
D11,high_load,4,210,true
D11,high_load,5,194,true
D11,high_load,6,199,true
D11,high_load,7,204,true
D11,high_load,8,209,true
D11,high_load,9,214,true
D11,high_load,10,198,true
D11,high_load,11,203,true
D11,high_load,12,208,false
D12,baseline,1,153,true
D12,baseline,2,160,true
D12,baseline,3,150,true
D12,baseline,4,157,true
D12,baseline,5,164,true
D12,baseline,6,154,true
D12,baseline,7,161,true
D12,baseline,8,151,true
D12,baseline,9,158,true
D12,baseline,10,165,true
D12,baseline,11,155,true
D12,baseline,12,162,false
D12,high_load,1,214,true
D12,high_load,2,219,true
D12,high_load,3,203,true
D12,high_load,4,208,true
D12,high_load,5,213,true
D12,high_load,6,218,true
D12,high_load,7,202,true
D12,high_load,8,207,true
D12,high_load,9,212,true
D12,high_load,10,217,true
D12,high_load,11,201,true
D12,high_load,12,206,false
D13,baseline,1,168,true
D13,baseline,2,158,true
D13,baseline,3,165,true
D13,baseline,4,155,true
D13,baseline,5,162,true
D13,baseline,6,169,true
D13,baseline,7,159,true
D13,baseline,8,166,true
D13,baseline,9,156,true
D13,baseline,10,163,true
D13,baseline,11,170,true
D13,baseline,12,160,false
D13,high_load,1,212,true
D13,high_load,2,217,true
D13,high_load,3,222,true
D13,high_load,4,206,true
D13,high_load,5,211,true
D13,high_load,6,216,true
D13,high_load,7,221,true
D13,high_load,8,226,true
D13,high_load,9,210,true
D13,high_load,10,215,true
D13,high_load,11,220,true
D13,high_load,12,225,false
D14,baseline,1,166,true
D14,baseline,2,173,true
D14,baseline,3,163,true
D14,baseline,4,170,true
D14,baseline,5,160,true
D14,baseline,6,167,true
D14,baseline,7,174,true
D14,baseline,8,164,true
D14,baseline,9,171,true
D14,baseline,10,161,true
D14,baseline,11,168,true
D14,baseline,12,158,false
D14,high_load,1,231,true
D14,high_load,2,215,true
D14,high_load,3,220,true
D14,high_load,4,225,true
D14,high_load,5,230,true
D14,high_load,6,214,true
D14,high_load,7,219,true
D14,high_load,8,224,true
D14,high_load,9,229,true
D14,high_load,10,213,true
D14,high_load,11,218,true
D14,high_load,12,223,false
D15,baseline,1,164,true
D15,baseline,2,171,true
D15,baseline,3,178,true
D15,baseline,4,168,true
D15,baseline,5,175,true
D15,baseline,6,165,true
D15,baseline,7,172,true
D15,baseline,8,162,true
D15,baseline,9,169,true
D15,baseline,10,176,true
D15,baseline,11,166,true
D15,baseline,12,173,false
D15,high_load,1,229,true
D15,high_load,2,234,true
D15,high_load,3,218,true
D15,high_load,4,223,true
D15,high_load,5,228,true
D15,high_load,6,233,true
D15,high_load,7,238,true
D15,high_load,8,222,true
D15,high_load,9,227,true
D15,high_load,10,232,true
D15,high_load,11,237,true
D15,high_load,12,221,false
D16,baseline,1,179,true
D16,baseline,2,169,true
D16,baseline,3,176,true
D16,baseline,4,166,true
D16,baseline,5,173,true
D16,baseline,6,180,true
D16,baseline,7,170,true
D16,baseline,8,177,true
D16,baseline,9,167,true
D16,baseline,10,174,true
D16,baseline,11,181,true
D16,baseline,12,171,false
D16,high_load,1,227,true
D16,high_load,2,232,true
D16,high_load,3,237,true
D16,high_load,4,242,true
D16,high_load,5,226,true
D16,high_load,6,231,true
D16,high_load,7,236,true
D16,high_load,8,241,true
D16,high_load,9,225,true
D16,high_load,10,230,true
D16,high_load,11,235,true
D16,high_load,12,240,false
