id,condition,trial,rt_ms,correct
P08,incong,11,555,true
P08,incong,12,541,true
P08,incong,13,514,true
P08,incong,14,498,true
P08,incong,15,501,true
P08,incong,16,593,true
P08,incong,17,537,false
P08,incong,18,525,true
P08,incong,19,592,true
P08,incong,20,545,true
P09,cong,1,605,true
P09,cong,2,548,true
P09,cong,3,508,true
P09,cong,4,465,true
P09,cong,5,601,true
P09,cong,6,603,true
P09,cong,7,596,true
P09,cong,8,518,true
P09,cong,9,468,true
P09,cong,10,487,true
P09,cong,11,534,true
P09,cong,12,558,true
P09,cong,13,545,true
P09,cong,14,466,true
P09,cong,15,386,true
P09,cong,16,512,true
P09,cong,17,555,true
P09,cong,18,484,true
P09,cong,19,481,true
P09,cong,20,484,true
P09,incong,1,596,false
P09,incong,2,616,true
P09,incong,3,512,true
P09,incong,4,546,false
P09,incong,5,520,true
P09,incong,6,604,true
P09,incong,7,570,true
P09,incong,8,667,true
P09,incong,9,648,true
P09,incong,10,703,false
P09,incong,11,624,true
P09,incong,12,691,false
P09,incong,13,669,true
P09,incong,14,574,true
P09,incong,15,653,false
P09,incong,16,630,true
P09,incong,17,739,true
P09,incong,18,723,true
P09,incong,19,621,true
P09,incong,20,661,true
P10,cong,1,380,true
P10,cong,2,394,true
P10,cong,3,381,true
P10,cong,4,399,true
P10,cong,5,493,true
P10,cong,6,297,true
P10,cong,7,365,true
P10,cong,8,397,true
P10,cong,9,367,true
P10,cong,10,397,true
P10,cong,11,467,true
P10,cong,12,368,true
P10,cong,13,388,true
P10,cong,14,319,true
P10,cong,15,358,false
P10,cong,16,250,true
P10,cong,17,419,true
P10,cong,18,342,true
P10,cong,19,406,true
P10,cong,20,352,true
P10,incong,1,294,false
P10,incong,2,395,true
P10,incong,3,339,true
P10,incong,4,467,true
P10,incong,5,440,true
P10,incong,6,415,true
P10,incong,7,435,true
P10,incong,8,407,true
P10,incong,9,465,false
P10,incong,10,383,true
P10,incong,11,500,true
P10,incong,12,435,true
P10,incong,13,462,true
P10,incong,14,442,true
P10,incong,15,458,true
P10,incong,16,432,true
P10,incong,17,426,false
P10,incong,18,501,false
P10,incong,19,400,true
P10,incong,20,332,true
P11,cong,1,567,true
P11,cong,2,552,true
P11,cong,3,553,true
P11,cong,4,533,false
P11,cong,5,575,true
P11,cong,6,562,true
P11,cong,7,502,true
P11,cong,8,602,false
P11,cong,9,571,true
P11,cong,10,524,true
P11,cong,11,523,true
P11,cong,12,498,true
P11,cong,13,624,false
P11,cong,14,536,true
P11,cong,15,365,true
P11,cong,16,616,true
P11,cong,17,577,true
P11,cong,18,552,true
P11,cong,19,635,true
P11,cong,20,474,true
P11,incong,1,644,true
P11,incong,2,636,true
P11,incong,3,709,true
P11,incong,4,577,true
P11,incong,5,629,true
P11,incong,6,642,true
P11,incong,7,659,true
P11,incong,8,638,true
P11,incong,9,525,true
P11,incong,10,549,true
P11,incong,11,636,true
P11,incong,12,656,true
P11,incong,13,539,true
P11,incong,14,612,true
P11,incong,15,611,true
P11,incong,16,609,true
P11,incong,17,597,true
P11,incong,18,601,true
P11,incong,19,562,true
P11,incong,20,580,true
P12,cong,1,527,true
P12,cong,2,554,true
P12,cong,3,490,true
P12,cong,4,554,true
P12,cong,5,615,true
P12,cong,6,523,true
P12,cong,7,570,true
P12,cong,8,460,true
P12,cong,9,514,true
P12,cong,10,556,true
P12,cong,11,453,true
P12,cong,12,525,true
P12,cong,13,523,true
P12,cong,14,496,true
P12,cong,15,460,true
P12,cong,16,551,true
P12,cong,17,501,true
P12,cong,18,590,true
P12,cong,19,451,true
P12,cong,20,534,true
P12,incong,1,584,true
P12,incong,2,716,true
P12,incong,3,619,true
P12,incong,4,723,false
P12,incong,5,652,true
P12,incong,6,671,true
P12,incong,7,639,true
P12,incong,8,740,true
P12,incong,9,564,true
P12,incong,10,552,true
P12,incong,11,599,true
P12,incong,12,641,true
P12,incong,13,638,true
P12,incong,14,625,true
P12,incong,15,572,true
P12,incong,16,603,true
P12,incong,17,603,false
P12,incong,18,562,false
P12,incong,19,597,false
P12,incong,20,683,true
P13,cong,1,480,true
P13,cong,2,496,true
P13,cong,3,478,true
P13,cong,4,455,true
P13,cong,5,437,true
P13,cong,6,380,true
P13,cong,7,406,true
P13,cong,8,412,true
P13,cong,9,390,true
P13,cong,10,529,true
P13,cong,11,470,true
P13,cong,12,463,true
P13,cong,13,458,true
P13,cong,14,450,true
P13,cong,15,471,true
P13,cong,16,405,true
P13,cong,17,477,true
P13,cong,18,408,true
P13,cong,19,346,true
P13,cong,20,483,true
P13,incong,1,442,true
P13,incong,2,571,true
P13,incong,3,563,false
P13,incong,4,485,true
P13,incong,5,421,true
P13,incong,6,449,true
P13,incong,7,464,true
P13,incong,8,407,false
P13,incong,9,532,true
P13,incong,10,534,true
P13,incong,11,580,true
P13,incong,12,420,true
P13,incong,13,392,true
P13,incong,14,480,true
P13,incong,15,517,true
P13,incong,16,406,false
P13,incong,17,536,false
P13,incong,18,415,true
P13,incong,19,500,false
P13,incong,20,525,true
P14,cong,1,523,true
P14,cong,2,449,true
P14,cong,3,530,true
P14,cong,4,552,true
P14,cong,5,559,true
P14,cong,6,575,true
P14,cong,7,524,true
P14,cong,8,486,true
P14,cong,9,518,true
P14,cong,10,536,false
P14,cong,11,410,true
P14,cong,12,551,true
P14,cong,13,564,true
P14,cong,14,414,true
P14,cong,15,517,true
P14,cong,16,466,true
P14,cong,17,530,true
P14,cong,18,509,true
P14,cong,19,511,true
P14,cong,20,542,true
P14,incong,1,634,true
P14,incong,2,635,true
P14,incong,3,616,true
P14,incong,4,624,true
P14,incong,5,631,true
P14,incong,6,526,true
P14,incong,7,608,true
P14,incong,8,616,true
P14,incong,9,529,true
P14,incong,10,604,true
P14,incong,11,615,true
P14,incong,12,612,true
P14,incong,13,580,true
P14,incong,14,479,true
P14,incong,15,624,true
P14,incong,16,559,true
P14,incong,17,594,true
P14,incong,18,585,true
P14,incong,19,578,false
P14,incong,20,638,true
P15,cong,1,508,true
P15,cong,2,552,true
P15,cong,3,520,true
P15,cong,4,531,true
P15,cong,5,564,true
P15,cong,6,488,true
P15,cong,7,603,true
P15,cong,8,814,true
P15,cong,9,545,true
P15,cong,10,534,true
P15,cong,11,579,true
P15,cong,12,595,true
P15,cong,13,463,true
P15,cong,14,559,true
P15,cong,15,620,true
P15,cong,16,491,true
P15,cong,17,501,true
P15,cong,18,539,true
P15,cong,19,639,true
P15,cong,20,571,true
P15,incong,1,687,true
P15,incong,2,578,true
P15,incong,3,620,false
P15,incong,4,633,true
P15,incong,5,668,true
P15,incong,6,565,false
P15,incong,7,637,true
P15,incong,8,579,true
P15,incong,9,633,true
P15,incong,10,517,true
P15,incong,11,439,false
P15,incong,12,609,true
P15,incong,13,606,true
P15,incong,14,617,true
P15,incong,15,526,true
P15,incong,16,612,true
P15,incong,17,561,true
P15,incong,18,559,true
P15,incong,19,597,true
P15,incong,20,489,true
P16,cong,1,545,true
P16,cong,2,561,true
P16,cong,3,520,true
P16,cong,4,458,false
P16,cong,5,543,true
P16,cong,6,507,true
P16,cong,7,520,true
P16,cong,8,563,true
P16,cong,9,460,true
P16,cong,10,517,false
P16,cong,11,511,true
P16,cong,12,574,true
P16,cong,13,450,true
P16,cong,14,475,true
P16,cong,15,466,true
P16,cong,16,434,true
P16,cong,17,469,true
P16,cong,18,642,true
P16,cong,19,524,true
P16,cong,20,456,true
P16,incong,1,583,true
P16,incong,2,528,true
P16,incong,3,629,true
P16,incong,4,582,true
P16,incong,5,564,true
P16,incong,6,562,true
P16,incong,7,532,true
P16,incong,8,627,true
P16,incong,9,559,true
P16,incong,10,621,true
P16,incong,11,616,true
P16,incong,12,561,true
P16,incong,13,557,true
P16,incong,14,589,true
P16,incong,15,527,true
P16,incong,16,516,true
P16,incong,17,504,false
P16,incong,18,578,true
P16,incong,19,622,true
P16,incong,20,571,true
P17,cong,1,499,true
P17,cong,2,522,true
P17,cong,3,580,true
P17,cong,4,654,true
P17,cong,5,479,false
P17,cong,6,489,true
P17,cong,7,507,true
P17,cong,8,558,true
P17,cong,9,446,true
P17,cong,10,468,true
P17,cong,11,597,true
P17,cong,12,516,true
P17,cong,13,431,true
P17,cong,14,585,true
P17,cong,15,607,true
P17,cong,16,558,true
P17,cong,17,592,true
P17,cong,18,487,true
P17,cong,19,576,true
P17,cong,20,538,true
P17,incong,1,630,true
P17,incong,2,656,true
P17,incong,3,558,true
P17,incong,4,570,true
P17,incong,5,543,true
P17,incong,6,581,true
P17,incong,7,529,true
P17,incong,8,579,true
P17,incong,9,919,true
P17,incong,10,634,true
P17,incong,11,649,true
P17,incong,12,653,true
P17,incong,13,499,true
P17,incong,14,506,true
P17,incong,15,569,false
P17,incong,16,567,true
P17,incong,17,566,true
P17,incong,18,541,true
P17,incong,19,566,true
P17,incong,20,556,true
P18,cong,1,570,true
P18,cong,2,549,true
P18,cong,3,503,true
P18,cong,4,547,true
P18,cong,5,456,true
P18,cong,6,465,true
P18,cong,7,530,true
P18,cong,8,383,true
P18,cong,9,445,false
P18,cong,10,516,true
P18,cong,11,485,true
P18,cong,12,506,true
P18,cong,13,464,true
P18,cong,14,394,true
P18,cong,15,465,true
P18,cong,16,448,true
P18,cong,17,543,true
P18,cong,18,500,true
P18,cong,19,499,true
P18,cong,20,459,true
P18,incong,1,550,true
P18,incong,2,556,true
P18,incong,3,594,true
P18,incong,4,598,true
P18,incong,5,583,true
P18,incong,6,600,true
P18,incong,7,578,true
P18,incong,8,591,true
P18,incong,9,515,true
P18,incong,10,592,true
P18,incong,11,578,true
P18,incong,12,588,true
P18,incong,13,554,true
P18,incong,14,567,true
P18,incong,15,607,true
P18,incong,16,918,true
P18,incong,17,603,true
P18,incong,18,541,true
P18,incong,19,591,true
P18,incong,20,577,true
P19,cong,1,437,true
P19,cong,2,506,true
P19,cong,3,452,true
P19,cong,4,504,true
P19,cong,5,450,true
P19,cong,6,403,true
P19,cong,7,453,true
P19,cong,8,522,true
P19,cong,9,429,true
P19,cong,10,411,true
P19,cong,11,726,true
P19,cong,12,446,false
P19,cong,13,511,true
P19,cong,14,372,true
P19,cong,15,445,true
P19,cong,16,411,true
P19,cong,17,414,true
P19,cong,18,346,true
P19,cong,19,494,true
P19,cong,20,476,false
P19,incong,1,597,true
P19,incong,2,558,false
P19,incong,3,507,true
P19,incong,4,565,true
P19,incong,5,533,true
P19,incong,6,506,true
P19,incong,7,525,true
P19,incong,8,507,true
P19,incong,9,459,true
P19,incong,10,382,true
P19,incong,11,519,true
P19,incong,12,388,true
P19,incong,13,512,true
P19,incong,14,493,true
P19,incong,15,475,true
P19,incong,16,598,true
P19,incong,17,475,true
P19,incong,18,770,true
P19,incong,19,552,true
P19,incong,20,552,true
P20,cong,1,447,true
P20,cong,2,685,true
P20,cong,3,586,true
P20,cong,4,529,true
P20,cong,5,571,true
P20,cong,6,573,true
P20,cong,7,810,true
P20,cong,8,544,true
P20,cong,9,554,true
P20,cong,10,523,true
P20,cong,11,540,true
P20,cong,12,506,true
P20,cong,13,457,true
P20,cong,14,514,true
P20,cong,15,568,true
P20,cong,16,580,true
P20,cong,17,473,true
P20,cong,18,472,true
P20,cong,19,605,true
P20,cong,20,429,true
P20,incong,1,737,true
P20,incong,2,664,false
P20,incong,3,722,false
P20,incong,4,635,true
P20,incong,5,630,true
P20,incong,6,634,true
P20,incong,7,643,true
P20,incong,8,598,true
P20,incong,9,714,true
P20,incong,10,739,true
P20,incong,11,630,true
P20,incong,12,645,true
P20,incong,13,619,true
P20,incong,14,585,true
P20,incong,15,581,true
P20,incong,16,638,true
P20,incong,17,750,true
P20,incong,18,694,true
P20,incong,19,670,true
P20,incong,20,626,true
P21,cong,1,350,true
P21,cong,2,398,true
P21,cong,3,381,true
P21,cong,4,378,true
P21,cong,5,424,true
P21,cong,6,385,true
P21,cong,7,425,false
P21,cong,8,382,true
P21,cong,9,369,true
P21,cong,10,370,true
P21,cong,11,433,true
P21,cong,12,484,true
P21,cong,13,312,true
P21,cong,14,321,true
P21,cong,15,355,true
P21,cong,16,391,true
P21,cong,17,422,true
P21,cong,18,411,true
P21,cong,19,447,true
P21,cong,20,411,true
P21,incong,1,477,true
P21,incong,2,391,true
P21,incong,3,496,true
P21,incong,4,494,true
P21,incong,5,382,true
P21,incong,6,443,true
P21,incong,7,436,true
P21,incong,8,484,true
P21,incong,9,428,true
P21,incong,10,454,true
P21,incong,11,458,true
P21,incong,12,403,false
P21,incong,13,364,true
P21,incong,14,446,false
P21,incong,15,387,true
P21,incong,16,480,true
P21,incong,17,433,true
P21,incong,18,409,true
P21,incong,19,446,true
P21,incong,20,407,false
P22,cong,1,451,true
P22,cong,2,440,true
P22,cong,3,475,true
P22,cong,4,448,true
P22,cong,5,573,true
P22,cong,6,440,true
P22,cong,7,473,true
P22,cong,8,511,true
P22,cong,9,424,true
P22,cong,10,553,true
P22,cong,11,467,true
P22,cong,12,432,true
P22,cong,13,519,true
P22,cong,14,405,true
P22,cong,15,527,true
P22,cong,16,521,true
P22,cong,17,685,true
P22,cong,18,426,true
P22,cong,19,462,true
P22,cong,20,515,true
P22,incong,1,427,true
P22,incong,2,503,false
P22,incong,3,582,false
P22,incong,4,551,true
P22,incong,5,484,false
P22,incong,6,612,true
P22,incong,7,568,true
P22,incong,8,566,true
P22,incong,9,622,true
P22,incong,10,560,true
P22,incong,11,558,true
P22,incong,12,485,true
P22,incong,13,569,true
P22,incong,14,510,true
P22,incong,15,487,true
P22,incong,16,444,true
P22,incong,17,443,true
P22,incong,18,516,false
P22,incong,19,635,true
P22,incong,20,378,true
P23,cong,1,662,true
P23,cong,2,522,true
P23,cong,3,551,true
P23,cong,4,502,true
P23,cong,5,524,true
P23,cong,6,528,true
P23,cong,7,581,true
P23,cong,8,638,false
P23,cong,9,560,true
P23,cong,10,732,true
P23,cong,11,473,true
P23,cong,12,543,true
P23,cong,13,437,true
P23,cong,14,635,true
P23,cong,15,573,true
P23,cong,16,511,true
P23,cong,17,573,true
P23,cong,18,454,true
P23,cong,19,435,true
P23,cong,20,530,true
P23,incong,1,669,true
P23,incong,2,606,true
P23,incong,3,671,true
P23,incong,4,623,true
P23,incong,5,641,true
P23,incong,6,610,true
P23,incong,7,591,true
P23,incong,8,587,true
P23,incong,9,627,true
P23,incong,10,492,true
P23,incong,11,452,true
P23,incong,12,582,true
P23,incong,13,559,true
P23,incong,14,426,true
P23,incong,15,647,true
P23,incong,16,504,true
P23,incong,17,648,true
P23,incong,18,541,true
P23,incong,19,573,false
P23,incong,20,559,true
P24,cong,1,572,true
P24,cong,2,503,true
P24,cong,3,440,true
P24,cong,4,452,true
P24,cong,5,464,true
P24,cong,6,462,true
P24,cong,7,460,true
P24,cong,8,452,true
P24,cong,9,588,false
P24,cong,10,756,false
P24,cong,11,480,true
P24,cong,12,498,true
P24,cong,13,533,true
P24,cong,14,465,true
P24,cong,15,647,true
P24,cong,16,513,true
P24,cong,17,510,true
P24,cong,18,463,true
P24,cong,19,488,true
P24,cong,20,488,true
P24,incong,1,553,true
P24,incong,2,522,true
P24,incong,3,667,true
P24,incong,4,619,true
P24,incong,5,621,true
P24,incong,6,643,true
P24,incong,7,529,true
P24,incong,8,572,true
P24,incong,9,681,true
P24,incong,10,471,true
P24,incong,11,563,false
P24,incong,12,569,true
P24,incong,13,528,true
P24,incong,14,655,true
P24,incong,15,524,true
P24,incong,16,435,true
P24,incong,17,572,true
P24,incong,18,442,true
P24,incong,19,540,true
P24,incong,20,546,true
